lr = 0.006, hs = 350, mm = 0.92, ne = 8, acc_train = 0.8078512396694215, acc_test = 0.7453512396694215
lr = 0.006, hs = 350, mm = 0.92, ne = 9, acc_train = 0.8449121900826446, acc_test = 0.7768595041322314
lr = 0.006, hs = 350, mm = 0.92, ne = 10, acc_train = 0.862345041322314, acc_test = 0.7799586776859504
lr = 0.006, hs = 350, mm = 0.93, ne = 8, acc_train = 0.8553719008264463, acc_test = 0.7737603305785123
lr = 0.006, hs = 350, mm = 0.93, ne = 9, acc_train = 0.846978305785124, acc_test = 0.7727272727272727
lr = 0.006, hs = 350, mm = 0.93, ne = 10, acc_train = 0.8850723140495868, acc_test = 0.793904958677686
lr = 0.006, hs = 350, mm = 0.9400000000000001, ne = 8, acc_train = 0.8609245867768595, acc_test = 0.7742768595041323
lr = 0.006, hs = 350, mm = 0.9400000000000001, ne = 9, acc_train = 0.85911673553719, acc_test = 0.7861570247933884
lr = 0.006, hs = 350, mm = 0.9400000000000001, ne = 10, acc_train = 0.9004390495867769, acc_test = 0.8099173553719008
lr = 0.006, hs = 350, mm = 0.9500000000000001, ne = 8, acc_train = 0.8609245867768595, acc_test = 0.7701446280991735
lr = 0.006, hs = 350, mm = 0.9500000000000001, ne = 9, acc_train = 0.8933367768595041, acc_test = 0.806301652892562
lr = 0.006, hs = 350, mm = 0.9500000000000001, ne = 10, acc_train = 0.893595041322314, acc_test = 0.806301652892562
lr = 0.006, hs = 350, mm = 0.9600000000000001, ne = 8, acc_train = 0.8681559917355371, acc_test = 0.7825413223140496
lr = 0.006, hs = 350, mm = 0.9600000000000001, ne = 9, acc_train = 0.8950154958677686, acc_test = 0.8109504132231405
lr = 0.006, hs = 350, mm = 0.9600000000000001, ne = 10, acc_train = 0.9138688016528925, acc_test = 0.8125
lr = 0.006, hs = 400, mm = 0.92, ne = 8, acc_train = 0.8394886363636364, acc_test = 0.768595041322314
lr = 0.006, hs = 400, mm = 0.92, ne = 9, acc_train = 0.8535640495867769, acc_test = 0.7763429752066116
lr = 0.006, hs = 400, mm = 0.92, ne = 10, acc_train = 0.8698347107438017, acc_test = 0.7758264462809917
lr = 0.006, hs = 400, mm = 0.93, ne = 8, acc_train = 0.8357438016528925, acc_test = 0.7613636363636364
lr = 0.006, hs = 400, mm = 0.93, ne = 9, acc_train = 0.8517561983471075, acc_test = 0.7711776859504132
lr = 0.006, hs = 400, mm = 0.93, ne = 10, acc_train = 0.887525826446281, acc_test = 0.8006198347107438
lr = 0.006, hs = 400, mm = 0.9400000000000001, ne = 8, acc_train = 0.8503357438016529, acc_test = 0.7758264462809917
lr = 0.006, hs = 400, mm = 0.9400000000000001, ne = 9, acc_train = 0.8721590909090909, acc_test = 0.7871900826446281
lr = 0.006, hs = 400, mm = 0.9400000000000001, ne = 10, acc_train = 0.8852014462809917, acc_test = 0.7835743801652892
lr = 0.006, hs = 400, mm = 0.9500000000000001, ne = 8, acc_train = 0.8677685950413223, acc_test = 0.7763429752066116
lr = 0.006, hs = 400, mm = 0.9500000000000001, ne = 9, acc_train = 0.8952737603305785, acc_test = 0.7949380165289256
lr = 0.006, hs = 400, mm = 0.9500000000000001, ne = 10, acc_train = 0.9044421487603306, acc_test = 0.7975206611570248
lr = 0.006, hs = 400, mm = 0.9600000000000001, ne = 8, acc_train = 0.87525826446281, acc_test = 0.7887396694214877
lr = 0.006, hs = 400, mm = 0.9600000000000001, ne = 9, acc_train = 0.9035382231404959, acc_test = 0.8006198347107438
lr = 0.006, hs = 400, mm = 0.9600000000000001, ne = 10, acc_train = 0.9214876033057852, acc_test = 0.8197314049586777
lr = 0.006, hs = 450, mm = 0.92, ne = 8, acc_train = 0.8339359504132231, acc_test = 0.762396694214876
lr = 0.006, hs = 450, mm = 0.92, ne = 9, acc_train = 0.8495609504132231, acc_test = 0.7696280991735537
lr = 0.006, hs = 450, mm = 0.92, ne = 10, acc_train = 0.8806818181818182, acc_test = 0.797004132231405
lr = 0.006, hs = 450, mm = 0.93, ne = 8, acc_train = 0.8291580578512396, acc_test = 0.7582644628099173
lr = 0.006, hs = 450, mm = 0.93, ne = 9, acc_train = 0.8667355371900827, acc_test = 0.7856404958677686
lr = 0.006, hs = 450, mm = 0.93, ne = 10, acc_train = 0.8801652892561983, acc_test = 0.7985537190082644
lr = 0.006, hs = 450, mm = 0.9400000000000001, ne = 8, acc_train = 0.8427169421487604, acc_test = 0.762396694214876
lr = 0.006, hs = 450, mm = 0.9400000000000001, ne = 9, acc_train = 0.8795196280991735, acc_test = 0.8006198347107438
lr = 0.006, hs = 450, mm = 0.9400000000000001, ne = 10, acc_train = 0.8941115702479339, acc_test = 0.800103305785124
lr = 0.006, hs = 450, mm = 0.9500000000000001, ne = 8, acc_train = 0.8731921487603306, acc_test = 0.7825413223140496
lr = 0.006, hs = 450, mm = 0.9500000000000001, ne = 9, acc_train = 0.8879132231404959, acc_test = 0.800103305785124
lr = 0.006, hs = 450, mm = 0.9500000000000001, ne = 10, acc_train = 0.8939824380165289, acc_test = 0.7964876033057852
lr = 0.006, hs = 450, mm = 0.9600000000000001, ne = 8, acc_train = 0.8713842975206612, acc_test = 0.7768595041322314
lr = 0.006, hs = 450, mm = 0.9600000000000001, ne = 9, acc_train = 0.8926911157024794, acc_test = 0.8109504132231405
lr = 0.006, hs = 450, mm = 0.9600000000000001, ne = 10, acc_train = 0.9285898760330579, acc_test = 0.8388429752066116
lr = 0.007, hs = 350, mm = 0.92, ne = 8, acc_train = 0.8194731404958677, acc_test = 0.7505165289256198
lr = 0.007, hs = 350, mm = 0.92, ne = 9, acc_train = 0.8647985537190083, acc_test = 0.7820247933884298
lr = 0.007, hs = 350, mm = 0.92, ne = 10, acc_train = 0.8777117768595041, acc_test = 0.7846074380165289
lr = 0.007, hs = 350, mm = 0.93, ne = 8, acc_train = 0.8640237603305785, acc_test = 0.7732438016528925
lr = 0.007, hs = 350, mm = 0.93, ne = 9, acc_train = 0.8771952479338843, acc_test = 0.7856404958677686
lr = 0.007, hs = 350, mm = 0.93, ne = 10, acc_train = 0.8992768595041323, acc_test = 0.8109504132231405
lr = 0.007, hs = 350, mm = 0.9400000000000001, ne = 8, acc_train = 0.862603305785124, acc_test = 0.7840909090909091
lr = 0.007, hs = 350, mm = 0.9400000000000001, ne = 9, acc_train = 0.9047004132231405, acc_test = 0.8119834710743802
lr = 0.007, hs = 350, mm = 0.9400000000000001, ne = 10, acc_train = 0.906120867768595, acc_test = 0.8125
lr = 0.007, hs = 350, mm = 0.9500000000000001, ne = 8, acc_train = 0.8646694214876033, acc_test = 0.7675619834710744
lr = 0.007, hs = 350, mm = 0.9500000000000001, ne = 9, acc_train = 0.8808109504132231, acc_test = 0.7887396694214877
lr = 0.007, hs = 350, mm = 0.9500000000000001, ne = 10, acc_train = 0.9207128099173554, acc_test = 0.8259297520661157
lr = 0.007, hs = 350, mm = 0.9600000000000001, ne = 8, acc_train = 0.8671229338842975, acc_test = 0.7908057851239669
lr = 0.007, hs = 350, mm = 0.9600000000000001, ne = 9, acc_train = 0.9223915289256198, acc_test = 0.8181818181818182
lr = 0.007, hs = 350, mm = 0.9600000000000001, ne = 10, acc_train = 0.9118026859504132, acc_test = 0.8057851239669421
lr = 0.007, hs = 400, mm = 0.92, ne = 8, acc_train = 0.8511105371900827, acc_test = 0.7866735537190083
lr = 0.007, hs = 400, mm = 0.92, ne = 9, acc_train = 0.8675103305785123, acc_test = 0.7840909090909091
lr = 0.007, hs = 400, mm = 0.92, ne = 10, acc_train = 0.8817148760330579, acc_test = 0.7949380165289256
lr = 0.007, hs = 400, mm = 0.93, ne = 8, acc_train = 0.8480113636363636, acc_test = 0.762396694214876
lr = 0.007, hs = 400, mm = 0.93, ne = 9, acc_train = 0.8846849173553719, acc_test = 0.7861570247933884
lr = 0.007, hs = 400, mm = 0.93, ne = 10, acc_train = 0.8920454545454546, acc_test = 0.7985537190082644
lr = 0.007, hs = 400, mm = 0.9400000000000001, ne = 8, acc_train = 0.8622159090909091, acc_test = 0.7804752066115702
lr = 0.007, hs = 400, mm = 0.9400000000000001, ne = 9, acc_train = 0.8939824380165289, acc_test = 0.8135330578512396
lr = 0.007, hs = 400, mm = 0.9400000000000001, ne = 10, acc_train = 0.9004390495867769, acc_test = 0.8021694214876033
lr = 0.007, hs = 400, mm = 0.9500000000000001, ne = 8, acc_train = 0.8885588842975206, acc_test = 0.8057851239669421
lr = 0.007, hs = 400, mm = 0.9500000000000001, ne = 9, acc_train = 0.909220041322314, acc_test = 0.8104338842975206
lr = 0.007, hs = 400, mm = 0.9500000000000001, ne = 10, acc_train = 0.9327221074380165, acc_test = 0.8403925619834711
lr = 0.007, hs = 400, mm = 0.9600000000000001, ne = 8, acc_train = 0.8842975206611571, acc_test = 0.7882231404958677
lr = 0.007, hs = 400, mm = 0.9600000000000001, ne = 9, acc_train = 0.8660898760330579, acc_test = 0.765495867768595
lr = 0.007, hs = 400, mm = 0.9600000000000001, ne = 10, acc_train = 0.8992768595041323, acc_test = 0.7871900826446281
lr = 0.007, hs = 450, mm = 0.92, ne = 8, acc_train = 0.849948347107438, acc_test = 0.78099173553719
lr = 0.007, hs = 450, mm = 0.92, ne = 9, acc_train = 0.8443956611570248, acc_test = 0.7758264462809917
lr = 0.007, hs = 450, mm = 0.92, ne = 10, acc_train = 0.8769369834710744, acc_test = 0.7835743801652892
lr = 0.007, hs = 450, mm = 0.93, ne = 8, acc_train = 0.8641528925619835, acc_test = 0.7753099173553719
lr = 0.007, hs = 450, mm = 0.93, ne = 9, acc_train = 0.8830061983471075, acc_test = 0.8006198347107438
lr = 0.007, hs = 450, mm = 0.93, ne = 10, acc_train = 0.8819731404958677, acc_test = 0.7840909090909091
lr = 0.007, hs = 450, mm = 0.9400000000000001, ne = 8, acc_train = 0.875129132231405, acc_test = 0.7871900826446281
lr = 0.007, hs = 450, mm = 0.9400000000000001, ne = 9, acc_train = 0.8954028925619835, acc_test = 0.8047520661157025
lr = 0.007, hs = 450, mm = 0.9400000000000001, ne = 10, acc_train = 0.9136105371900827, acc_test = 0.8176652892561983
lr = 0.007, hs = 450, mm = 0.9500000000000001, ne = 8, acc_train = 0.8996642561983471, acc_test = 0.8166322314049587
lr = 0.007, hs = 450, mm = 0.9500000000000001, ne = 9, acc_train = 0.9003099173553719, acc_test = 0.8026859504132231
lr = 0.007, hs = 450, mm = 0.9500000000000001, ne = 10, acc_train = 0.918775826446281, acc_test = 0.8166322314049587
lr = 0.007, hs = 450, mm = 0.9600000000000001, ne = 8, acc_train = 0.8836518595041323, acc_test = 0.8032024793388429
lr = 0.007, hs = 450, mm = 0.9600000000000001, ne = 9, acc_train = 0.8950154958677686, acc_test = 0.8104338842975206
lr = 0.007, hs = 450, mm = 0.9600000000000001, ne = 10, acc_train = 0.9006973140495868, acc_test = 0.806301652892562
lr = 0.008, hs = 350, mm = 0.92, ne = 8, acc_train = 0.8476239669421488, acc_test = 0.7758264462809917
lr = 0.008, hs = 350, mm = 0.92, ne = 9, acc_train = 0.8706095041322314, acc_test = 0.7856404958677686
lr = 0.008, hs = 350, mm = 0.92, ne = 10, acc_train = 0.9058626033057852, acc_test = 0.8042355371900827
lr = 0.008, hs = 350, mm = 0.93, ne = 8, acc_train = 0.8708677685950413, acc_test = 0.7856404958677686
lr = 0.008, hs = 350, mm = 0.93, ne = 9, acc_train = 0.8805526859504132, acc_test = 0.8057851239669421
lr = 0.008, hs = 350, mm = 0.93, ne = 10, acc_train = 0.8845557851239669, acc_test = 0.7861570247933884
lr = 0.008, hs = 350, mm = 0.9400000000000001, ne = 8, acc_train = 0.8737086776859504, acc_test = 0.7913223140495868
lr = 0.008, hs = 350, mm = 0.9400000000000001, ne = 9, acc_train = 0.8846849173553719, acc_test = 0.7887396694214877
lr = 0.008, hs = 350, mm = 0.9400000000000001, ne = 10, acc_train = 0.9021177685950413, acc_test = 0.8052685950413223
lr = 0.008, hs = 350, mm = 0.9500000000000001, ne = 8, acc_train = 0.9037964876033058, acc_test = 0.8176652892561983
lr = 0.008, hs = 350, mm = 0.9500000000000001, ne = 9, acc_train = 0.8881714876033058, acc_test = 0.7933884297520661
lr = 0.008, hs = 350, mm = 0.9500000000000001, ne = 10, acc_train = 0.8979855371900827, acc_test = 0.7871900826446281
lr = 0.008, hs = 350, mm = 0.9600000000000001, ne = 8, acc_train = 0.8846849173553719, acc_test = 0.7902892561983471
lr = 0.008, hs = 350, mm = 0.9600000000000001, ne = 9, acc_train = 0.8762913223140496, acc_test = 0.7887396694214877
lr = 0.008, hs = 350, mm = 0.9600000000000001, ne = 10, acc_train = 0.9012138429752066, acc_test = 0.8057851239669421
lr = 0.008, hs = 400, mm = 0.92, ne = 8, acc_train = 0.8502066115702479, acc_test = 0.7592975206611571
lr = 0.008, hs = 400, mm = 0.92, ne = 9, acc_train = 0.87525826446281, acc_test = 0.7866735537190083
lr = 0.008, hs = 400, mm = 0.92, ne = 10, acc_train = 0.8921745867768595, acc_test = 0.7944214876033058
